                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93051,                 2.1154,                 1.1284,                0.92976,                0.81882,                0.99307,                0.77956,                0.80454,                 2.3292,                 1.0204,             0.00036681,             0.00036681,             0.00036681
                      2,                 0.8887,                 1.1441,                 1.0581,                0.95951,                0.94028,                0.98042,                0.76839,                0.83588,                 1.2642,                 1.0332,             0.00072254,             0.00072254,             0.00072254
                      3,                0.88855,                0.94466,                 1.0534,                0.93562,                0.95716,                0.98745,                0.76875,                0.84076,                 1.0365,                 1.0485,              0.0010636,              0.0010636,              0.0010636
                      4,                0.85753,                0.78684,                 1.0272,                0.91506,                0.98844,                0.99258,                0.78951,                0.77965,                0.84687,                0.99376,               0.001045,               0.001045,               0.001045
                      5,                0.83871,                0.67078,                 1.0193,                0.99516,                0.99495,                0.99359,                 0.7856,                0.79866,                0.61328,                 1.0026,               0.001023,               0.001023,               0.001023
                      6,                0.82729,                0.58929,                 1.0116,                0.99505,                0.99829,                0.99311,                0.79625,                0.77593,                0.49921,                0.99449,               0.001001,               0.001001,               0.001001
                      7,                0.81729,                0.54387,                 1.0039,                0.99611,                0.99829,                0.99292,                0.80138,                 0.7657,                0.46278,                0.98401,             0.00097901,             0.00097901,             0.00097901
                      8,                0.81247,                0.55543,                 1.0045,                0.99569,                0.99829,                0.99385,                  0.797,                0.77419,                0.43945,                0.99344,             0.00095702,             0.00095702,             0.00095702
                      9,                 0.8196,                 0.5058,                 1.0069,                0.99625,                0.99829,                0.99356,                0.80499,                0.75031,                 0.3996,                0.97783,             0.00093502,             0.00093502,             0.00093502
                     10,                0.80622,                0.47909,                 1.0045,                0.99607,                0.99829,                0.99423,                0.79435,                0.78706,                0.40114,                0.99937,             0.00091302,             0.00091302,             0.00091302
                     11,                 0.7975,                0.46077,                0.99881,                0.99588,                0.99829,                0.99433,                0.79813,                0.79286,                0.38248,                 1.0033,             0.00089102,             0.00089102,             0.00089102
                     12,                0.79697,                0.44636,                 0.9974,                0.98771,                0.99768,                0.99257,                0.79527,                0.78463,                 0.3634,                0.99406,             0.00086902,             0.00086902,             0.00086902
                     13,                0.77435,                 0.4237,                0.98983,                0.99604,                0.99829,                0.99268,                0.80784,                0.75255,                0.34734,                0.98059,             0.00084703,             0.00084703,             0.00084703
                     14,                0.77788,                0.42756,                 0.9844,                0.99616,                0.99706,                0.99308,                0.81027,                0.74092,                0.32647,                0.97272,             0.00082503,             0.00082503,             0.00082503
                     15,                0.77306,                 0.4222,                0.99483,                 0.9957,                0.99829,                0.99279,                0.79039,                0.79367,                 0.3379,                0.99314,             0.00080303,             0.00080303,             0.00080303
                     16,                0.77536,                0.41561,                0.98581,                 0.9954,                0.99829,                0.99407,                0.81072,                0.74404,                0.30934,                0.97432,             0.00078103,             0.00078103,             0.00078103
                     17,                0.77071,                0.40603,                0.98802,                0.99592,                0.99829,                0.99385,                0.79429,                0.77534,                0.33905,                0.99486,             0.00075904,             0.00075904,             0.00075904
                     18,                0.76541,                0.40632,                 0.9908,                0.99583,                0.99829,                0.99292,                0.80034,                 0.7721,                0.31069,                0.98943,             0.00073704,             0.00073704,             0.00073704
                     19,                0.75601,                0.38908,                0.98227,                0.99617,                0.99829,                0.99295,                0.80781,                0.74594,                0.31118,                0.97024,             0.00071504,             0.00071504,             0.00071504
